0,배럴,2907  
1,전주,2284

2,미국,2061

3,기록,1400
5,기준,1346
7,대비,1124
8,만b,860
9,원유,732

10,원유생산,688

12,발표,570
14,자금,473
15,투기성,469
17,포지션,389
18,주간,380

19,원유시추,367

20,원유재고,320

21,스프레드,319
22,원월물,302

23,석유재고,298

24,순매수,280
25,선물거래,279
26,상품선물거래위원회,277

27,사우디,271

28,지난주,258
29,선물가격,254
30,휘발유,251

31,선물유가,249

32,가치,241
33,유로화,234
34,환율,223
35,백만b,222
36,러시아,213
37,중간유분,213
38,생산,206
39,국제유가,205
40,매수,197
41,유가,191
42,에너지정보청,177
43,리비아,177

45,장관,171
46,최근월물,171
47,석유수요,169
48,세계,157
49,전월,154
50,휘발유재고,149
51,중간유분재고,146

53,헤지펀드,141
54,예상,137
55,가능성,137
56,이란,134
57,중국,128

60,연장,125
61,국제,124
62,베이커휴즈,124
63,백워데이션,123
64,이후,121
65,전망,120
66,비OPEC,120

68,콘탱고,116
69,언급,113
70,상업용,111
71,에너지부,111
72,소식,111
73,합의,105

76,지역,99


79,수준,97

81,전망치,93
82,석유시장,93
83,회의,93
84,생산량,91
85,주요,91
86,지속,90
87,산유국들,90

89,베네수엘라,87
90,달러화,86
91,내년,86
92,산유국,83
93,기록함,83
94,계획,83
95,요인,82
96,원유수출,82
97,최근원물,82
98,대통령,81
99,규모,81
100,전망함,80
101,이라크,79
102,영향,76
103,공급,75
104,발생,73
105,불구,71

107,트럼프,70
108,선물,70
109,나이지리아,69
110,보도,69
111,발언,68
112,동일,67
113,로이터,67
114,첫째,66
115,둘째,66

117,선물유,65
118,셋째,64
119,예정,63
120,송유관,62
121,현물,62



123,수출,60


126,가동,58
127,유전,57

129,원유수입,56
130,재개,56

132,금년,56
133,연준,53
134,제기,52
135,최고치,51
136,회원국,51
137,석유부,51

138,증가세,50

139,넷째,50

140,확산,50

141,이행,49
142,시장,48
143,허리케인,47
144,논의,47
145,인도,47
146,전년,47
147,유럽,46
148,일부,46

150,원유생산량,46
151,개월,46

153,연속,44
154,개최,44
155,셰일오,44
156,신규,44
157,조치,43
158,자국,43
159,분기,43
160,재고,43
161,쿠웨이트,42
162,기간,42
163,결정,42
164,포함,42
165,협상,41
166,백신,40
167,쿠싱,40
168,원유공급,40
169,알제리,39
170,기존,39
171,동결,38
172,올해,38

173,인상,38


175,지연,37
176,에너지,37
177,인도지점,37
178,교차,36
179,당초,36
180,마지막,36
181,가운데,35
182,산유량,35

184,영국,35
185,아시아,35
186,석유,35
187,멕시코,34
188,시추,34
189,경우,34
190,보고서,34
191,사무총장,33
192,글로벌,33
193,정제시설,33
194,월간,33
195,정부,32
196,국영석유회사,32
197,현재,32
198,국영,31
199,한편,31

200,감산합,31

201,시작,31
202,작용,31
203,반면,31
204,경제,31
205,기준금리,31
206,종료,30
207,하반기,30
208,동안,30

210,수요,30
211,가격,30

212,부족,30

213,인터뷰,29
214,국가,29

216,상황,29

218,국제에너지기구,28
219,필요,28
220,총회,27

222,최대,27



226,보합세,26
227,석유제품,25
228,개국,25
229,과잉,25
230,바이러스,25
231,행정부,24
232,주요국,24
233,석유시설,24
234,조정함,24
235,전망됨,24
236,상회,24

238,평균,23
239,멕시코만,23
240,이전,23
241,의회,23
242,석유공급,23
243,카자흐스탄,23
244,양국,23
245,월호,22
246,최저치,22
247,유지함,22

249,이상,21
250,주장,21
